英文名,中文名,简称,备注
National University of Singapore ,新加坡国立大学,NUS
University College London,伦敦大学学院,UCL
The University of Melbourne,墨尔本大学
The University of New South Wales ,新南威尔士大学,UNSW 
The University of Sydney,悉尼大学
University of Toronto,多伦多大学
The University of Edinburgh,爱丁堡大学
Université PSL,巴黎第九大学
The University of Hong Kong,香港大学
The University of Tokyo,东京大学
McGill University,麦吉尔大学
The University of Manchester,曼彻斯特大学
Australian National University ,澳洲国立大学,ANU
University of British Columbia,英属哥伦比亚大学
EPFL,洛桑联邦理工学院
Technical University of Munich,慕尼黑工业大学
Institut Polytechnique de Paris,巴黎理工学院
King's College London,伦敦大学国王学院
Seoul National University,首尔国立大学
Monash University,莫纳什大学
Zhejiang University,浙江大学
The London School of Economics and Political Science ,伦敦政治经济学院,LSE
Kyoto University,京都大学
Delft University of Technology,代尔夫特理工大学
The Chinese University of Hong Kong ,香港中文大学,CUHK
University of Amsterdam,阿姆斯特丹大学
Ludwig-Maximilians-Universität München,慕尼黑大学
University of Bristol,布里斯托大学
KAIST - Korea Advanced Institute of Science & Technology,韩国高等科技学院
Sorbonne University,索邦大学
The Hong Kong University of Science and Technology,香港科技大学
KU Leuven,鲁汶大学（荷语）
The Hong Kong Polytechnic University,香港理工大学
Universiti Malaya ,马来亚大学,UM
The University of Auckland,奥克兰大学
National Taiwan University ,国立台湾大学,NTU
City University of Hong Kong,香港城市大学
Université Paris-Saclay,巴黎萨克雷大学
KTH Royal Institute of Technology,瑞典皇家理工学院
University of Glasgow,格拉斯哥大学
Yonsei University,延世大学
Korea University,高丽大学
Osaka University,大阪大学
"Trinity College Dublin, The University of Dublin",都柏林三一学院
University of Southampton,南安普敦大学
University of Birmingham,伯明翰大学
Lund University,隆德大学
Universidade de São Paulo,圣保罗大学
Lomonosov Moscow State University,莫斯科国立大学
Universität Heidelberg,海德堡大学
The University of Adelaide,阿德雷德大学
University of Technology Sydney,悉尼科技大学
Tokyo Institute of Technology ,东京工业大学,Tokyo Tech
University of Zurich,苏黎世大学
Universidad Nacional Autónoma de México ,墨西哥国立自治大学,UNAM
Universidad de Buenos Aires ,布宜诺斯艾利斯大学,UBA
University of St Andrews,圣安德鲁斯大学
Freie Universitaet Berlin,柏林自由大学
Pohang University of Science And Technology ,浦项科技大学,POSTECH
Stanford University,斯坦福大学
Massachusetts Institute of Technology ,麻省理工学院,MIT
Harvard University,哈佛大学
California Institute of Technology ,加州理工学院," Caltech"
Yale University,耶鲁大学
Princeton University,普林斯顿大学
"University of California, Berkeley ",加州大学伯克利分校,UCB
Tsinghua University,清华大学
Peking University,北京大学
University of Cambridge,剑桥大学
University of Oxford,牛津大学
ETH Zurich,苏黎世联邦理工学院
Imperial College London,帝国理工学院
