Deepmind
亚马逊 (Amazon)
字母表 (Alphabet)
谷歌 (Google)
微软 (Microsoft)
Meta
脸书 (Facebook)
三星 (Samsung)
特斯拉 (Tesla)
苹果 (Apple)
英伟达 (NVIDIA)
台湾积体电路制造公司 (Taiwan Semiconductor Manufacturing Company - TSMC)
英特尔 (Intel)
华为 (Huawei)
百度 (Baidu)
腾讯 (Tencent)
字节跳动 (ByteDance)
阿里巴巴 (Alibaba)
淘宝 (Taobao)
拼多多 (PDD Holdings)
网易 (NetEase)
京东 (JD)
今日头条
快手
美团
博通 (Broadcom)
阿斯麦 (AMSL Holding)
Adobe
思科 (Cisco)
Salesforce
AMD
Danaher
德州仪器 (Texas Instruments)
比亚迪 (BYD)
理想 (Li Auto)
携程 (Trip.com)
蔚来 (NIO)
小鹏 (XPENG)
SpaceX
Stripe
希音 (Shein)
OpenAI
大疆 (DJI)
滴滴 (DiDi)
